name,address,addressObj/country,addressObj/postalcode,addressObj/state,cuisine,description,DietaryRestrictions,Dishes,Features,latitude,longitude,localAddress,MealType,numberOfReviews,phone,rankingDenominator,rankingPosition,rating,rawRanking
Papa Jhons,"2. Papa John's Pizza, Transit The Food Lounge The Forum,21, Hosur Rd Koramangala, Bangalore - 560095, Bengaluru 560095 India",India,560095,Karnataka,Italian Indian       ,"Quality is at our core. It's the foundation we started with, from the first Papa John's pizza that was made in a broom closet in Jeffersonville, IN, to now more than 4,600 locations in 34 countries around the world.From our signature sauce and toppings to our fresh dough and even to the box itself, we deliver more to ensure our quality is consistently better.Papa John's:Better Ingredients Always.",   ,                       ,                            ,12.93,77.61,"2. Papa John's Pizza, Transit The Food Lounge The Forum,21, Hosur Rd Koramangala, Bangalore - 560095, 560095",     ,4.0,+91 87927 41775,5993.0,2913.0,3.5,3.03
Namdhari's Salad & Bar,"73, 2nd Block, 2nd Main Road, Vyalikaval, Near Vyalikaval Police Station, Malleshwaram, Bengaluru 560003 India",India,560003,Karnataka,        ,,   ,                       ,                            ,13.01,77.58,"73, 2nd Block, 2nd Main Road, Vyalikaval, Near Vyalikaval Police Station, Malleshwaram, 560003",     ,1.0,+91 80 2354 1521,5993.0,3863.0,5.0,3.02
Pot Biryani,"1025 Keerthi Tower 1st Floor Dr Raj Kumar Road 4th M Block, Bengaluru 560010 India",India,560010,Karnataka,        ,,   ,                       ,                            ,13.0,77.55,"1025 Keerthi Tower 1st Floor Dr Raj Kumar Road 4th M Block, 560010",     ,4.0,+91 80 3232 6099,5993.0,3730.0,3.5,3.02
Prabhu Tiffin Rooms,"37, Khazi Street, Basavanagudi,, Bengaluru 560004 India",India,560004,Karnataka,Indian        ,,   ,                       ,                            ,12.97,77.61,"37, Khazi Street,, Basavanagudi,, 560004",Breakfast Lunch    ,1.0,19483150442,5993.0,2163.0,5.0,3.04
Kolkatha Famous Kathi Rolls,"No 72 6th Cross, Bengaluru 560037 India",India,560037,Karnataka,        ,,   ,                       ,                            ,12.96,77.71,"No 72 6th Cross, 560037",     ,4.0,+91 97429 89497,5993.0,2198.0,4.5,3.04
Laddoos,"79 7'th Cross Road 2nd Stage, Bengaluru 560058 India",India,560058,Karnataka,Indian        ,,   ,                       ,                            ,12.93,77.58,"79 7'th Cross Road, 2nd Stage, 560058",     ,5.0,+91 80 2678 5108,5993.0,2017.0,4.0,3.05
Box8,"Sarjapura Road 65/1A, Shree Complex, Bengaluru 560033 India",India,560033,Karnataka,Indian        ,,   ,                       ,                            ,12.98,77.58,"Sarjapura Road, 65/1A, Shree Complex, 560033",Lunch Dinner    ,5.0,+91 80 3355 2698,5993.0,3060.0,3.5,3.02
The Terrace Cafe & Restaurant,"3 Hulimavu Gate Opposite Royal Meenakshi Mall, Bengaluru 560068 India",India,560068,Karnataka,        ,,   ,                       ,                            ,12.86,77.57,"3 Hulimavu Gate Opposite Royal Meenakshi Mall, 560068",     ,1.0,+91 81977 00333,5993.0,3824.0,5.0,3.02
Ganesha Darshini,"72 Margosa Road, Bengaluru 560055 India",India,560055,Karnataka,        ,,   ,                       ,                            ,13.01,77.57,"72 Margosa Road, 560055",     ,4.0,+91 80 2356 5677,5993.0,3189.0,4.0,3.02
Carnatic,"4th Floor 55 Goenka Chambers 19th Main Road, JP Nagar, Bengaluru 560078 India",India,560078,Karnataka,        ,,   ,                       ,                            ,12.97,77.62,"4th Floor 55 Goenka Chambers, 19th Main Road, JP Nagar, 560078",     ,1.0,+91 98867 71681,5993.0,2941.0,5.0,3.03
Sangam - Kuch Khatti! Kuch Meethi!,"02, Harekrishna Road, Shivananda Circle, Opposite Pr Desai Hospital, Seshadripuram, Bengaluru 560020 India",India,560020,Karnataka,        ,,   ,                       ,                            ,12.99,77.58,"02, Harekrishna Road, Shivananda Circle, Opposite Pr Desai Hospital, Seshadripuram, 560020",     ,4.0,+91 98860 63198,5993.0,1719.0,4.5,3.06
Prime Golf - Brewing &amp; Golfing,"Ardendale Kannamangala Sh-35, Whitefield - Hoskote Rd, Bengaluru 560067 India",India,560067,Karnataka,Indian Brew Pub International Pub     ,,   ,                       ,                            ,12.97,77.59,"Ardendale Kannamangala Sh-35,, Whitefield - Hoskote Rd, 560067",     ,0.0,+91 99009 38000,,,,
Pramukh Family Restaurant,"Mallaraiah Complex 1st Floor Gandhi Bazaar Road, Bengaluru 560079 India",India,560079,Karnataka,        ,,   ,                       ,Reservations                            ,12.95,77.57,"Mallaraiah Complex 1st Floor Gandhi Bazaar Road, 560079",Lunch Dinner    ,7.0,+91 80 2662 2484,5993.0,1700.0,4.0,3.06
Natural Ice Cream of Juhu Scheme,"8 - 2 2'nd Cross Road Fraser Town, Bengaluru 560005 India",India,560005,Karnataka,        ,,   ,Ice Cream                       ,                            ,12.92,77.54,"8 - 2 2'nd Cross Road, Fraser Town, 560005",     ,5.0,+91 80 4117 0319,5993.0,1403.0,5.0,3.07
Talk of the Town Family Restaurant,"No 10 S C Road Gandhi Nagar, Bengaluru 560009 India",India,560009,Karnataka,Chinese Indian       ,,   ,                       ,                            ,12.98,77.58,"No 10 S C Road, Gandhi Nagar, 560009",     ,5.0,+91 99805 21886,5993.0,3718.0,3.5,3.02
Goli Vada Pav No. 1,"Bagalur Main Road Shop 2, Survey 191, Reva College Circle, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,13.13,77.65,"Bagalur Main Road, Shop 2, Survey 191, Reva College Circle",Lunch Dinner    ,2.0,+91 98861 48338,5993.0,2456.0,4.5,3.04
New Shastri Sagar,"New Shastri Sagar Near Jalahalli Cross Near Jalahalli Cross New Shastri Sagar, Bengaluru 560058 India",India,560058,Karnataka,        ,,   ,                       ,                            ,13.04,77.52,"New Shastri Sagar Near Jalahalli Cross Near Jalahalli Cross New Shastri Sagar, 560058",     ,3.0,+91 99452 30502,5993.0,3777.0,3.5,3.02
Royal Treat,"88 Jyothi Niwas College Road Near Lakshmi Vilas Bank ATM, Bengaluru 560034 India",India,560034,Karnataka,Indian        ,,   ,                       ,Table Service                            ,12.93,77.62,"88 Jyothi Niwas College Road, Near Lakshmi Vilas Bank ATM, 560034",Lunch Dinner    ,11.0,+91 80 6537 8182,5993.0,3252.0,3.5,3.02
KC Das - Sai Sweets,"1/3 16'th Cross Road JP Nagar, Bengaluru 560078 India",India,560078,Karnataka,        ,,   ,                       ,                            ,13.01,77.57,"1/3 16'th Cross Road, JP Nagar, 560078",     ,4.0,+91 80 4120 9034,5993.0,3297.0,4.0,3.02
Bhavani Maharashtra Vada Pav,"Mathikere Main Road K. N. Extension, H Gurumurthy Reddy Colony, Bengaluru 560022 India",India,560022,Karnataka,Indian Fast Food       ,,   ,                       ,                            ,13.04,77.6,"Mathikere Main Road, K. N. Extension, H Gurumurthy Reddy Colony, 560022",     ,2.0,+91 88676 69269,5993.0,1853.0,4.5,3.05
Sizzlers Pizza Inn,"Golden fins sports club, N0- 2/1, near NPS School, Belathur Main Road, Kumbenagarahara, Kumbena Agrahara,, Bengaluru 560067 India",India,560067,Karnataka,Pizza Barbecue       ,,   ,                       ,                            ,13.01,77.75,"Golden fins sports club, N0- 2/1, near NPS School, Belathur Main Road, Kumbenagarahara,, Kumbena Agrahara,, 560067",Lunch Dinner    ,1.0,+91 81230 65504,5993.0,2557.0,5.0,3.03
Aathurar,"476 Hal 3rd Stage 10th Main, Bengaluru 560075 India",India,560075,Karnataka,        ,,   ,                       ,                            ,12.97,77.66,"476 Hal 3rd Stage 10th Main, 560075",     ,9.0,+91 80 4148 5868,5993.0,1655.0,4.0,3.06
Bismillah Restaurant,"80 80'th Feet Ring Road K S Town, Near Mirle Mansion, Bengaluru 560060 India",India,560060,Karnataka,Cafe        ,,   ,                       ,                            ,13.03,77.52,"80 80'th Feet Ring Road, K S Town, Near Mirle Mansion, 560060",     ,1.0,+91 99017 79671,5993.0,3804.0,5.0,3.02
Truffles,"28, Ground Floor, 4th B Cross, Industrial Layout, Khb Colony, 5th Block, Opposite Standard Chartered Bank, Koramangala, Bengaluru 560095 India",India,560095,Karnataka,American        ,,Vegetarian Friendly   ,Burger                       ,                            ,,,"28, Ground Floor, 4th B Cross, Industrial Layout, Khb Colony, 5th Block, Opposite Standard Chartered Bank, Koramangala, 560095",Lunch Dinner    ,11.0,+91 80 4146 6565,5993.0,846.0,4.5,3.13
Broadway,"Hsr Layout, Bengaluru 560035 India",India,560035,Karnataka,Japanese Indian International Asian Japanese Fusion    ,,   ,                       ,                            ,12.91,77.64,"Hsr Layout, 560035",     ,1.0,,5993.0,3647.0,4.0,3.02
Pizza Hut,"478 80'th Feet Road, Near Indusind Bank Atm Koramangala, Bengaluru 560095 India",India,560095,Karnataka,Italian Pizza       ,,   ,                       ,                            ,12.94,77.62,"478 80'th Feet Road, Near Indusind Bank Atm, Koramangala, 560095",     ,8.0,+91 80 2553 3999,5993.0,5155.0,3.0,3.01
Tasty Bites,"Market Bannerghatta Road Adajacent to Reliance, Arekere Micolayout, Barnargatta, Bengaluru 560076 India",India,560076,Karnataka,        ,,   ,                       ,                            ,12.89,77.6,"Market Bannerghatta Road, Adajacent to Reliance, Arekere Micolayout, Barnargatta, 560076",Lunch Dinner    ,5.0,+91 98450 00000,5993.0,1745.0,4.5,3.06
Paakashala,"219, 2nd Main Road, Stage 2, Hoysala Nagar, Indiranagar, Bengaluru 560038 India",India,560038,Karnataka,Chinese Indian       ,"Paakashala is a rare theme based multi-cuisine vegetarian restaurant featuring a total and complete experience for customers. A top “Customer focused” high quality, hygienic, tasty foods offered in North, South, Chinese & Continental Delicacies.",   ,                       ,                            ,12.98,77.64,"219, 2nd Main Road, Stage 2, Hoysala Nagar, Indiranagar, 560038",Breakfast Lunch Dinner   ,1.0,+91 84314 32806,5993.0,5284.0,3.0,3.0
Folklore,"121/1, Ground Floor, Golden County Building, Doddakannelli, Behind Andhra Bank, Sarjapur Road, Bengaluru India",India,,Karnataka,Chinese        ,,   ,                       ,                            ,12.93,77.63,"121/1, Ground Floor, Golden County Building, Doddakannelli, Behind Andhra Bank, Sarjapur Road",     ,6.0,+91 80 2843 9143,5993.0,2517.0,3.5,3.03
Kfc,"Hyper City, Survey No. 6/2 And 6/3 Situated At Kundalahalli Gatethoobarahalli Village, Arthur Hobli, Southtaluk, Bengaluru 560037 India",India,560037,Karnataka,American Fast Food       ,,   ,                       ,                            ,12.96,77.72,"Hyper City, Survey No. 6/2 And 6/3 Situated At Kundalahalli Gatethoobarahalli Village, Arthur Hobli, Southtaluk, 560037",     ,8.0,+91 80 4205 0603,5993.0,2161.0,4.0,3.04
Cafe olive planet,"No 8, 1st Cross, Bengaluru 5600064 India",India,5600064,Karnataka,Italian American Contemporary      ,,   ,                       ,                            ,12.92,77.63,"No 8, 1st Cross, 5600064",Lunch Dinner    ,3.0,+91 73381 88233,5993.0,4013.0,3.5,3.01
Cottage Loaf,"2-3, Akkaraymma Building, Byrathi Cross, Kothanur, Hennur, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,,,"2-3, Akkaraymma Building, Byrathi Cross, Kothanur, Hennur",     ,3.0,+91 99009 87865,5993.0,1249.0,5.0,3.08
Shree Uday Sweets,"524, 17 E Main, Khb Colony, 5 Block, Koramangala, Bengaluru India",India,,Karnataka,Fast Food        ,,   ,                       ,                            ,12.94,77.62,"524, 17 E Main, Khb Colony, 5 Block, Koramangala",     ,6.0,+91 80 2552 0237,5993.0,2567.0,3.5,3.03
White Horse Family Restaurant,"724, 24th Main Road, Next To Hotel Nandhini, Jp Nagar, Bengaluru 560078 India",India,560078,Karnataka,Chinese Indian       ,,   ,                       ,                            ,12.91,77.59,"724, 24th Main Road, Next To Hotel Nandhini, Jp Nagar, 560078",     ,4.0,+91 80 2654 1328,5993.0,5709.0,3.0,2.96
Hotel Empire International Restaurant,"No. 103, Industrial Area, 5th Block, Near Jyothi Nivas College, Koramangala, Bengaluru 560095 India",India,560095,Karnataka,Indian Asian       ,,   ,                       ,Delivery Takeout Seating                          ,12.94,77.62,"No. 103, Industrial Area, 5th Block, Near Jyothi Nivas College, Koramangala, 560095",Lunch Dinner    ,26.0,+91 80 4022 2777,5993.0,5691.0,3.0,2.98
Mcdonald's,"Shop No 132, Commercial Street, Bengaluru 560001 India",India,560001,Karnataka,Fast Food        ,,   ,                       ,                            ,12.98,77.61,"Shop No 132, Commercial Street, 560001",Brunch     ,12.0,+91 80660 00666,5993.0,1920.0,3.5,3.05
Pizza Republic,"Neeladri Road, Bengaluru 560100 India",India,560100,Karnataka,Pizza        ,,   ,                       ,                            ,12.98,77.58,"Neeladri Road, 560100",Lunch Dinner    ,3.0,+91 86374 60070,5993.0,2507.0,3.5,3.03
Hotel Karavali Restaurant,"9/3 Opposite Syndicate Bank, Bengaluru 560076 India",India,560076,Karnataka,Chinese        ,,   ,                       ,                            ,12.88,77.6,"9/3 Opposite Syndicate Bank, 560076",     ,1.0,+91 97316 01853,5993.0,3641.0,5.0,3.02
Countryside,"513 4th Cross Rd #4/C, 1st Floor, 2nd Block, Bengaluru 560015 India",India,560015,Karnataka,Seafood        ,,   ,                       ,                            ,13.07,77.51,"513 4th Cross Rd, #4/C, 1st Floor, 2nd Block, 560015",     ,1.0,+91 80 2542 6069,5993.0,4313.0,4.0,3.01
Karavali Biryani Mane,"6/2, Kadirenahalli Cross, Uttarahalli Main Road, 3rd Stage, Near Axis ATM, Banashankari, Bengaluru 560050 India",India,560050,Karnataka,Seafood        ,,   ,                       ,                            ,12.92,77.57,"6/2, Kadirenahalli Cross, Uttarahalli Main Road, 3rd Stage, Near Axis ATM, Banashankari, 560050",     ,1.0,+91 80 6567 0555,5993.0,4018.0,4.0,3.01
Gravity,"A1, Ranka Colony, Bilekahalli, Near Brand Factory, Bannerghatta Road, Bengaluru India",India,,Karnataka,Chinese        ,,   ,                       ,                            ,12.86,77.57,"A1, Ranka Colony, Bilekahalli, Near Brand Factory, Bannerghatta Road",     ,1.0,+91 80 4150 4140,5993.0,3286.0,5.0,3.02
Tamarind,"2, Outer Ring Road, Bengaluru 560043 India",India,560043,Karnataka,Chinese Indian       ,"Here friends meet, teammates regale and meetings come to fruition, all the while munching on classic delights – there is Tamarind. A truly namma restaurant in Banaswadi serving crowd-favourites at pocket-friendly prices. Great for parties, corporate getaways or to simply hang out at, this multi-cuisine restaurant is worth lounging at.",Vegetarian Friendly   ,                       ,Reservations Seating Serves Alcohol Table Service                         ,13.02,77.66,"2, Outer Ring Road, 560043",Lunch Dinner    ,52.0,+91 98802 20111,5993.0,720.0,3.5,3.16
Toscano,"Hosur Rd 2nd Floor, The Forum Mall Koramangala, Bengaluru 560029 India",India,560029,Karnataka,        ,,   ,                       ,                            ,12.93,77.61,"Hosur Rd, 2nd Floor, The Forum Mall Koramangala, 560029",     ,1.0,+91 80 2206 7757,5993.0,3121.0,5.0,3.02
Aasass,"As Qw Qw Qw, Bengaluru India",India,,Karnataka,Irish International Asian Middle Eastern Indonesian Israeli Afghan  ,,   ,                       ,                            ,12.97,77.59,As Qw Qw Qw,     ,0.0,,,,,
Bistro Oui,"476, Opposite Bda Park, Khb Colony, Koramangala, 5th Block, Bengaluru 560095 India",India,560095,Karnataka,Cafe        ,,   ,                       ,Outdoor Seating                            ,12.94,77.62,"476, Opposite Bda Park, Khb Colony, Koramangala, 5th Block, 560095",Lunch Dinner    ,1.0,+91 95350 07412,5993.0,3461.0,5.0,3.02
Biryani Bowl,"ITPL Basement, ITPL Main Road, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,        ,,   ,                       ,                            ,12.98,77.73,"ITPL Basement, ITPL Main Road, Whitefield, 560066",     ,3.0,+91 96638 00166,5993.0,1946.0,4.5,3.05
Bazaar - Zone By The Park,"Infantry Road Zone by the Park Infantry Bengaluru, 66, Karnataka, Bengaluru 560001 India",India,560001,Karnataka,International        ,,   ,                       ,Reservations                            ,12.98,77.6,"Infantry Road, Zone by the Park Infantry Bengaluru, 66, Karnataka, 560001",     ,8.0,+91 8071 234 567,5993.0,1587.0,4.0,3.06
Nando's,"Whitefield Main Rd Unit UG-15, Upper ground floor, Phoenix Marketcity, Bengaluru 560048 India",India,560048,Karnataka,        ,"Born in South Africa and taken to the world, Nando's specialises in Portuguese-style, flamed-grilled chicken dishes with various PERi-PERi marinades Experience a truly South African dining experience at Nando's in Karnataka The Nando's experience is like no other, perfect for the me-times as well as the family and friends time Add spice to your life with a meal from our Portuguese style menu We've set the eating experience on fire and we can't wait for you to join our table because if there's one thing we love as much as PERi-PERi, it's lots of people to enjoy it with",   ,                       ,                            ,13.0,77.7,"Whitefield Main Rd, Unit UG-15, Upper ground floor, Phoenix Marketcity, 560048",Lunch Dinner    ,2.0,+91 80 4962 6561,5993.0,5658.0,3.0,3.0
Goli Vada Pav No. 1,"87/3, Jayanthi Building, Avenue Road, Below Indian Bank, Chikpete, Bengaluru 560042 India",India,560042,Karnataka,Fast Food        ,,   ,                       ,                            ,12.97,77.58,"87/3, Jayanthi Building, Avenue Road, Below Indian Bank, Chikpete, 560042",     ,2.0,+91 98800 45955,5993.0,2949.0,4.5,3.03
Udupi Deluxe,"60 C 1'st Main Road Brookfield, Kundalahalli, Near Andhra Bank, Bengaluru 560037 India",India,560037,Karnataka,Indian Asian       ,,Vegetarian Friendly   ,                       ,Table Service                            ,13.06,77.56,"60 C 1'st Main Road, Brookfield, Kundalahalli, Near Andhra Bank, 560037",Breakfast Dinner    ,11.0,+91 80 2854 3071,5993.0,1374.0,4.0,3.08
Swing Pub,"100 Ft Road 765, 5th Floor, Bengaluru 560038 India",India,560038,Karnataka,Cafe Asian Contemporary Pub Gastropub    ,,   ,                       ,                            ,12.88,77.56,"100 Ft Road, 765, 5th Floor, 560038",     ,1.0,+91 99020 71249,5993.0,4431.0,4.0,3.01
New Lassi Corner,"7 Ulsoor Road, Bengaluru 560042 India",India,560042,Karnataka,Indian Cafe Fast Food      ,Cafe with amenities such as 1) Smoking Zone 2) Music 3)Parking 4)Wheel Chair accessible 5) Party place available,   ,                       ,                            ,12.97,77.62,"7 Ulsoor Road, 560042",Lunch Dinner    ,1.0,+91 94491 69371,5993.0,2420.0,5.0,3.04
Bob's Restaurant,"494 8'th Cross Street, Bengaluru 560075 India",India,560075,Karnataka,Chinese        ,,   ,                       ,                            ,12.93,77.58,"494 8'th Cross Street, 560075",Lunch Dinner    ,5.0,+91 80 4116 1228,5993.0,2118.0,4.0,3.04
Subway,"36, 3, Near BDA Complex, 14th Main Road, Sector 7, HSR Layout, Bengaluru 560102 India",India,560102,Karnataka,American Fast Food       ,,   ,                       ,                            ,12.91,77.64,"36, 3, Near BDA Complex, 14th Main Road, Sector 7, HSR Layout, 560102",     ,10.0,+91 80 2572 9999,5993.0,1730.0,4.0,3.06
Delhi Restaurant,"84 I T P L Main Road K.R. Puram Hobli, Whitefield, Bengaluru 560066 India",India,560066,Karnataka,Indian        ,,   ,                       ,                            ,12.98,77.74,"84 I T P L Main Road, K.R. Puram Hobli, Whitefield, 560066",Lunch Dinner    ,8.0,+91 72598 24051,5993.0,1470.0,4.5,3.07
Inntense,"Smart Square Complex #3 Feet Road Indiranagar 4th Floor 100 Feet Road, Bengaluru 560038 India",India,560038,Karnataka,Chinese Indian Asian      ,,   ,                       ,                            ,12.98,77.64,"Smart Square Complex #3 Feet Road Indiranagar 4th Floor 100 Feet Road, 560038",     ,5.0,+91 96060 54601,5993.0,1778.0,4.0,3.05
Cha Canteen,"10, Abdul Kalam Enclave, Karthik Nagar, Marathahalli Next To Karnataka Bank, Bengaluru 560037 India",India,560037,Karnataka,Indian Cafe Asian      ,"Cha Canteen serves you an a variety of hot tea and coffee along with chilled drinks. We also have selection of Indian street food like stuffed paratha, momos, maggi and sandwiches.",   ,                       ,                            ,12.97,77.7,"10, Abdul Kalam Enclave, Karthik Nagar, Marathahalli, Next To Karnataka Bank, 560037",Breakfast Lunch Dinner   ,2.0,+91 86604 30779,5993.0,1810.0,5.0,3.05
Hotel Sri Krishna Sagar,"12/8, Hosur Main Road Opposite To Forum Mall, Koramangala, Bengaluru 560029 India",India,560029,Karnataka,        ,,   ,                       ,                            ,12.96,77.61,"12/8, Hosur Main Road, Opposite To Forum Mall, Koramangala, 560029",     ,8.0,25500036,5993.0,1724.0,4.0,3.06
Verve Coffee Lounge,"2nd Floor 132 Thanisandra Main Road, Near Manyata Embassy Business Park, Bengaluru 560077 India",India,560077,Karnataka,        ,"Verve Coffee Lounge- is a perfect venue for those who love the aroma of freshly made caffeine and want to enjoy a fresh brewing cup in their hands. Whether it is to start your day with freshness or to enjoy your evening, witness the beauty of sunset in calm serenity, Verve Coffee Lounge offers a good deal with different types of Cappucino and Tea to make your visit a soothing one.",   ,                       ,                            ,13.04,77.63,"2nd Floor 132 Thanisandra Main Road, Near Manyata Embassy Business Park, 560077",Breakfast Lunch Dinner   ,4.0,+91 80 4646 7008,5993.0,1952.0,4.0,3.05
Slug,"2nd floor Manyata tech park - MFAR building Green Heart, Mfar Building, Manyata Tech Park, Bengaluru 560045 India",India,560045,Karnataka,Italian Bar Asian Pub     ,The only restropub in Manyata tech park. We get you the widest variety draft beer. Do come over with your colleagues for corporate hangouts and meetings.,Vegetarian Friendly   ,                       ,Delivery Takeout Reservations Seating Television Serves Alcohol Full Bar Accepts American Express Accepts Mastercard Accepts Visa Table Service                  ,13.04,77.62,"2nd floor Manyata tech park - MFAR building, Green Heart, Mfar Building, Manyata Tech Park, 560045",Lunch Dinner Drinks   ,19.0,+91 99722 51036,5993.0,1795.0,3.5,3.05
Subway,"92/3 - 1 Mosque Road Next to More Super Market, Frazer Town, Bengaluru 560005 India",India,560005,Karnataka,Cafe Fast Food       ,,   ,                       ,                            ,13.0,77.62,"92/3 - 1 Mosque Road, Next to More Super Market, Frazer Town, 560005",     ,5.0,+91 80 2546 6633,5993.0,2131.0,4.0,3.04
Fish Land,"23 Hosur Road, Opposite Madiwala Police Station, Bengaluru 560025 India",India,560025,Karnataka,Seafood        ,,   ,                       ,                            ,12.94,77.61,"23 Hosur Road, Opposite Madiwala Police Station, 560025",     ,3.0,+91 80 2563 1419,5993.0,2097.0,4.5,3.04
Hari Super Sandwich,"2 National High School Road, Bengaluru 560004 India",India,560004,Karnataka,        ,,   ,Sandwiches                       ,                            ,12.95,77.58,"2 National High School Road, 560004",     ,8.0,+91 99011 17355,5993.0,1466.0,4.0,3.07
Lazeez Restaurant,"51 5th Main Opposite Jyoti Nivas College, 15th Block, Koramangala, Bengaluru 560095 India",India,560095,Karnataka,        ,,   ,                       ,                            ,13.03,77.57,"51 5th Main, Opposite Jyoti Nivas College, 15th Block, Koramangala, 560095",     ,10.0,41217034,5993.0,2142.0,3.5,3.04
Area 78,"Sai Arcade No 4 Wilson Garden Society Layout, Kothnur Main Road, J P Nagar, 7th Phase, RBI East Layout, Bengaluru 560078 India",India,560078,Karnataka,Chinese Indian Fast Food Thai Fusion    ,"Area78 is a Retro Lounge, Pub and Rooftop bar spread across 3 levels with unique themes on each level to suit different needs. Experience spacious seating with separate smoking and non-smoking sections complemented by some great music and a lively environment. Our courteous and trained staff will assist in choosing from a variety of cuisines like Indian/Tandoor, Continental, Chinese/ Oriental etc",   ,                       ,Outdoor Seating                            ,12.91,77.56,"Sai Arcade No 4, Wilson Garden Society Layout, Kothnur Main Road, J P Nagar, 7th Phase, RBI East Layout, 560078",     ,3.0,+91 91489 01555,5993.0,1954.0,4.5,3.05
Adyar Ananda Bhavan Restaurant,"464 Hosur Road near Narayana Hrudayalaya, Bengaluru 560099 India",India,560099,Karnataka,Indian        ,,   ,                       ,                            ,12.82,77.68,"464 Hosur Road, near Narayana Hrudayalaya, 560099",     ,4.0,+91 93428 11830,5993.0,1650.0,4.5,3.06
Jimis Beer Cafe,"17/1 Residency Road Top Floor Of Garuda Mall, Opposite RBS Bank, Bengaluru 560025 India",India,560025,Karnataka,Italian Indian Bar Barbecue Pub Fusion   ,,   ,                       ,                            ,12.97,77.6,"17/1 Residency Road, Top Floor Of Garuda Mall, Opposite RBS Bank, 560025",Lunch Dinner    ,5.0,+91 99800 44552,5993.0,3479.0,3.5,3.02
Rock n Roll,"Brigade Road 3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar, Bengaluru 560025 India",India,560025,Karnataka,        ,,   ,                       ,                            ,12.97,77.61,"Brigade Road, 3rd Floor, Garuda Mall, Magrath Road, Ashok Nagar, 560025",     ,3.0,,5993.0,2550.0,4.0,3.03
Leon's Take Away,"202, 3rd A Cross, 2nd Main Road, Banaswadi Near Presidency School, Bengaluru 560043 India",India,560043,Karnataka,Chinese        ,,   ,                       ,                            ,13.01,77.65,"202, 3rd A Cross, 2nd Main Road, Banaswadi, Near Presidency School, 560043",     ,5.0,+91 99722 28645,5993.0,1851.0,4.5,3.05
Currys & Dosas,"18/2, Ali Askar Road, Near Kingfisher Airlines Building, Cunningham Road, Bengaluru 560052 India",India,560052,Karnataka,        ,,   ,                       ,                            ,12.99,77.59,"18/2, Ali Askar Road, Near Kingfisher Airlines Building, Cunningham Road, 560052",     ,2.0,+91 80 6066 7788,5993.0,2598.0,4.5,3.03
Maiyas Express,"45, Shri Complex Kavi, Lakshmisha Road, Sajjan Rao Circle, V V Puram, Basavanagudi, Bengaluru 560004 India",India,560004,Karnataka,Fast Food        ,,   ,                       ,                            ,12.95,77.57,"45, Shri Complex Kavi, Lakshmisha Road, Sajjan Rao Circle, V V Puram, Basavanagudi, 560004",     ,6.0,+91 80 2667 0709,5993.0,2402.0,4.0,3.04
Tashan the Punjabi Cuisine,"204 4'th Cross Road Kalyannagar, Hrbr Layout, 3rd Phase, Bengaluru 560043 India",India,560043,Karnataka,Indian        ,,Vegetarian Friendly   ,                       ,                            ,12.93,77.58,"204 4'th Cross Road, Kalyannagar, Hrbr Layout, 3rd Phase, 560043",Lunch Dinner    ,10.0,+91 80 4112 5127,5993.0,2006.0,3.5,3.05
Onesta,"896/4, 1st A Main Road Yelahanka Satellite Town, Sector A, Near Adhiswar Showroom, Bengaluru 560064 India",India,560064,Karnataka,Italian        ,,   ,                       ,                            ,13.1,77.58,"896/4, 1st A Main Road, Yelahanka Satellite Town, Sector A, Near Adhiswar Showroom, 560064",     ,6.0,+91 95137 36259,5993.0,2052.0,3.5,3.05
Domino's Pizza,"645, 1st Floor, 24th Cross, 24th Main, Next To BDA Complex, Banashankari, Bengaluru 560070 India",India,560070,Karnataka,Pizza        ,,   ,                       ,                            ,12.92,77.57,"645, 1st Floor, 24th Cross, 24th Main, Next To BDA Complex, Banashankari, 560070",     ,3.0,+91 80 2671 0070,5993.0,2114.0,4.5,3.04
Goli Vada Pav No.1,"Venkateshwara Enterprises # 35 /1B , Shop # 1, Basment,Near spice garden,varthure main road,Munnekolala,, Bengaluru 560037 India",India,560037,Karnataka,Fast Food        ,,   ,                       ,                            ,13.07,77.54,"Venkateshwara Enterprises # 35 /1B , Shop # 1, Basment,Near spice garden,varthure main road,Munnekolala,, 560037",     ,6.0,+91 94488 83129,5993.0,1823.0,4.0,3.05
The Mom's Kitchen,"100 Feet Road, Kiadb Building, Near Indian Bank, Jalahalli Cross, Banaglore, Bengaluru India",India,,Karnataka,Chinese        ,,   ,                       ,                            ,12.95,77.52,"100 Feet Road, Kiadb Building, Near Indian Bank, Jalahalli Cross, Banaglore",     ,2.0,+91 81840 38009,5993.0,3034.0,4.5,3.02
Sri Kamadenu Veg,"No 44, NH 4 Bangalore Rural, Gundenahalli, Bengaluru India",India,,Karnataka,        ,,   ,                       ,                            ,13.06,77.46,"No 44, NH 4, Bangalore Rural, Gundenahalli",     ,3.0,29970660776,5993.0,2905.0,4.0,3.03
